09/11/2022 18:39:13	Info	Server Avviato
09/11/2022 18:54:18	Info	Server Avviato
09/11/2022 18:55:03	Info	Server Avviato
09/11/2022 18:56:20	Info	Server Avviato
09/11/2022 18:56:47	Info	Server Avviato
09/11/2022 18:58:28	Info	Server Avviato
09/11/2022 18:58:51	Info	Server Avviato
09/11/2022 18:59:26	Info	Server Avviato
09/11/2022 19:00:57	Info	Server Avviato
09/11/2022 19:01:58	Info	Server Avviato
09/11/2022 19:03:57	Info	Server Avviato
09/11/2022 19:04:30	Info	Server Avviato
09/11/2022 19:05:21	Info	Server Avviato
09/11/2022 19:06:18	Info	Server Avviato
09/11/2022 19:07:28	Info	Server Avviato
09/11/2022 19:31:40	Info	Server Avviato
09/11/2022 19:32:14	Info	Server Avviato
09/11/2022 19:32:37	Info	Server Avviato
09/11/2022 19:33:38	Info	Server Avviato
09/11/2022 20:17:33	Info	Server Avviato
09/11/2022 20:18:18	Info	Server Avviato
09/11/2022 20:22:32	Info	Server Avviato
09/11/2022 20:26:37	Info	Server Avviato
09/11/2022 20:28:40	Info	Server Avviato
09/11/2022 20:31:07	Info	Server Avviato
09/11/2022 20:34:25	Info	Server Avviato
09/11/2022 20:35:01	Info	Server Avviato
